"Instruction","","Lat","TP","Uops","Ports"
"ADC (AL, 0)","BASE","1","0.28","1",""
"ADC (AL, I8)","BASE","1","0.28","1",""
"ADC (AX, I16)","BASE","1","0.33","1",""
"ADC (EAX, I32)","BASE","1","0.29","1",""
"ADC (M16, 0)","BASE","[≤1;8]","0.50","1",""
"ADC (M16, I16)","BASE","[≤1;8]","0.50","1",""
"ADC (M16, I8)","BASE","[≤1;8]","0.50","1",""
"ADC (M16, R16)","BASE","[≤1;8]","0.50","1",""
"ADC (M32, 0)","BASE","[≤1;8]","0.50","1",""
"ADC (M32, I32)","BASE","[≤1;8]","0.50","1",""
"ADC (M32, I8)","BASE","[≤1;8]","0.50","1",""
"ADC (M32, R32)","BASE","[≤1;8]","0.50","1",""
"ADC (M64, 0)","BASE","[≤1;8]","0.50","1",""
"ADC (M64, I32)","BASE","[≤1;8]","0.50","1",""
"ADC (M64, I8)","BASE","[≤1;8]","0.50","1",""
"ADC (M64, R64)","BASE","[≤1;8]","0.50","1",""
"ADC (M8, 0)","BASE","[≤1;8]","0.52","1",""
"ADC (M8, I8)","BASE","[≤1;8]","0.52","1",""
"ADC (M8, R8h)","BASE","[≤1;8]","0.50","1",""
"ADC (M8, R8l)","BASE","[≤1;8]","0.52","1",""
"ADC (R16, 0)","BASE","1","0.25","1",""
"ADC (R16, I16)","BASE","1","0.25","1",""
"ADC (R16, I8)","BASE","1","0.23","1",""
"ADC (R16, M16)","BASE","[≤1;5]","0.25","1",""
"ADC (R32, 0)","BASE","1","0.23","1",""
"ADC (R32, I32)","BASE","1","0.23","1",""
"ADC (R32, I8)","BASE","1","0.23","1",""
"ADC (R32, M32)","BASE","[≤1;5]","0.25","1",""
"ADC (R64, 0)","BASE","1","0.23","1",""
"ADC (R64, I32)","BASE","1","0.23","1",""
"ADC (R64, I8)","BASE","1","0.23","1",""
"ADC (R64, M64)","BASE","[≤1;5]","0.25","1",""
"ADC (R8h, 0)","BASE","1","0.25","1",""
"ADC (R8h, I8)","BASE","1","0.27","1",""
"ADC (R8h, M8)","BASE","[≤1;5]","0.27","1",""
"ADC (R8l, M8)","BASE","[≤1;5]","0.25","1",""
"ADC (RAX, I32)","BASE","1","0.27","1",""
"ADC_10 (R8h, R8h)","BASE","1","0.33","1",""
"ADC_10 (R8h, R8l)","BASE","1","0.33","1",""
"ADC_10 (R8l, R8h)","BASE","1","0.33","1",""
"ADC_10 (R8l, R8l)","BASE","1","0.23","1",""
"ADC_11 (R16, R16)","BASE","1","0.23","1",""
"ADC_11 (R32, R32)","BASE","1","0.23","1",""
"ADC_11 (R64, R64)","BASE","1","0.23","1",""
"ADC_12 (R8h, R8h)","BASE","1","0.33","1",""
"ADC_12 (R8h, R8l)","BASE","1","0.33","1",""
"ADC_12 (R8l, R8h)","BASE","1","0.33","1",""
"ADC_12 (R8l, R8l)","BASE","1","0.23","1",""
"ADC_13 (R16, R16)","BASE","1","0.23","1",""
"ADC_13 (R32, R32)","BASE","1","0.23","1",""
"ADC_13 (R64, R64)","BASE","1","0.23","1",""
"ADC_LOCK (M16, 0)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M16, I16)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M16, I8)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M16, R16)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M32, 0)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M32, I32)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M32, I8)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M32, R32)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M64, 0)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M64, I32)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M64, I8)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M64, R64)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M8, 0)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M8, I8)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M8, R8h)","BASE","[1;18]","19.77","1",""
"ADC_LOCK (M8, R8l)","BASE","[1;18]","19.77","1",""
"ADC_R0 (R8l, 0)","BASE","1","0.25","1",""
"ADC_R0 (R8l, I8)","BASE","1","0.25","1",""
"ADC_R4 (R8l, 0)","BASE","1","0.25","1",""
"ADC_R4 (R8l, I8)","BASE","1","0.25","1",""
"ADD (AL, 0)","BASE","1","0.28","1",""
"ADD (AL, I8)","BASE","1","0.28","1",""
"ADD (AX, I16)","BASE","1","0.33","1",""
"ADD (EAX, I32)","BASE","1","0.29","1",""
"ADD (M16, 0)","BASE","[≤1;8]","0.52","1",""
"ADD (M16, I16)","BASE","[≤1;8]","0.52","1",""
"ADD (M16, I8)","BASE","[≤1;8]","0.52","1",""
"ADD (M16, R16)","BASE","[≤1;8]","0.52","1",""
"ADD (M32, 0)","BASE","[≤1;8]","0.50","1",""
"ADD (M32, I32)","BASE","[≤1;8]","0.50","1",""
